stt,kanji,hanviet,on_reading,kun_reading,stroke_count,radicals,core_meaning,story_image,logic_development,memory_tip,adjectives,vocabulary
19,先,TIÊN,セン,さき,6,先-tien,Trước,Người đi (儿) phía trước.,先-tien -> (先) đi trước,Đôi chân đang bước lên phía trước.,なし:không có,先生(せんせい):thầy cô|先週(せんしゅう):tuần trước|先日(せんじつ):hôm trước|指先(ゆびさき):đầu ngón tay|お先に(おさきに):xin phép trước
20,私,TƯ,シ,わたし|わたくし,7,禾-hoa|厶-khu,Tôi|riêng tư,Cây lúa (禾) của riêng mình (厶).,禾-hoa + 厶-khu -> (私) cá nhân,Cây lúa của bản thân tôi.,なし:không có,私立大学(しりつだいがく):đại học tư lập|私生活(しせいかつ):đời tư|私用(しよう):việc riêng|私鉄(してつ):đường sắt tư nhân|私有(しゆう):sở hữu tư nhân
21,一,NHẤT,イチ|イツ,ひと,1,一-nhat,Một,Một ngạch ngang duy nhất.,一-nhat -> (一) số một,Ngón tay nằm ngang chỉ số một.,なし:không có,一つ(ひとつ):một cái|一人(ひとり):một người|一日(ついたち):mùng một|一月(いちがつ):tháng một|一番(いちばん):số một
22,二,NHỊ,ニ,ふた,2,二-nhi,Hai,Hai gạch ngang.,二-nhi -> (二) số hai,Hai ngón tay nằm ngang.,なし:không có,二つ(ふたつ):hai cái|二人(ふたり):hai người|二月(にがつ):tháng hai|二十日(はつか):ngày hai mươi|二歳(にさい):hai tuổi
23,三,TAM,サン,み,3,三-tam,Ba,Ba gạch ngang.,三-tam -> (三) số ba,Ba ngón tay nằm ngang.,なし:không có,三つ(みっつ):ba cái|三月(さんがつ):tháng ba|三日(みっか):mùng ba|三人(さんにん):ba người|三度(さんど):ba lần
24,四,TỨ,シ,よ|よん,5,囗-vi|儿-nhi,Bốn,Cánh cửa có đôi chân bên trong.,囗-vi + 儿-nhi -> (四) số bốn,Cái hộp chứa số bốn bên trong.,なし:không có,四つ(よっつ):bốn cái|四月(しがつ):tháng tư|四日(よっか):mùng bốn|四人(よにん):bốn người|四季(しき):bốn mùa
25,五,NGŨ,ゴ,いつ,4,五-ngu,Năm,Bàn tay có năm ngón.,五-ngu -> (五) số năm,Các gạch đan chéo nhau thành số năm.,なし:không có,五つ(いつつ):năm cái|五月(ごがつ):tháng năm|五日(いつか):mùng năm|五人(ごにん):năm người|五円(ごえん):năm yên
26,六,LỤC,ロク,む,4,六-luc,Sáu,Người đội mũ chỉ số sáu.,六-luc -> (六) số sáu,Hình dáng giống người đang dang chân.,なし:không có,六つ(むっつ):sáu cái|六月(ろくがつ):tháng sáu|六日(むいか):mùng sáu|六人(ろくにん):sáu người|六法(ろっぽう):lục pháp
27,七,THẤT,シチ,なな,2,七-that,Bảy,Cái muỗng lật ngược.,七-that -> (七) số bảy,Hình gạch chéo ngược với số hai.,なし:không có,七つ(ななつ):bảy cái|七月(しちがつ):tháng bảy|七日(なのか):mùng bảy|七人(しちにん):bảy người|七夕(たなばた):lễ thất tịch
28,八,BÁT,ハチ,や,2,八-bat,Tám,Hai nét mở ra hai bên.,八-bat -> (八) số tám,Hình dáng xòe rộng về phía dưới.,なし:không có,八つ(やっつ):tám cái|八月(はちがつ):tháng tám|八日(ようか):mùng tám|八人(はちにん):tám người|八百屋(やおや):cửa hàng rau
29,九,CỬU,キュウ|ク,ここの,2,九-cuu,Chín,Cánh tay gập lại chỉ số chín.,九-cuu -> (九) số chín,Nét cong móc như số chín.,なし:không có,九つ(ここのつ):chín cái|九月(くがつ):tháng chín|九日(ここのか):mùng chín|九人(きゅうにん):chín người|九州(きゅうしゅう):vùng kyushu
30,十,THẬP,ジュウ,とお,2,十-thap,Mười,Gạch ngang và dọc đan nhau.,十-thap -> (十) số mười,Hình chữ thập tượng trưng số mười.,なし:không có,十つ(とお):mười cái|十月(じゅうがつ):tháng mười|十日(とおか):mùng mười|十人(じゅうにん):mười người|十分(じゅうぶん):đầy đủ
31,百,BÁCH,ヒャク,もも,6,白-bach,Trăm,Số một (一) nằm trên chữ trắng (白).,一-nhat + 白-bach -> (百) một trăm,Thêm một gạch trên đầu chữ trắng thành trăm.,なし:không có,百円(ひゃくえん):một trăm yên|三百(さんびゃく):ba trăm|六百(ろっぴゃく):sáu trăm|八百(はっぴゃく):tám trăm|百科事典(ひゃっかじてん):từ điển bách khoa
32,千,THIÊN,セン,ち,3,千-thien,Nghìn,Số mười (十) có một gạch chéo trên đầu.,千-thien -> (千) một nghìn,Thêm nét phẩy trên chữ thập thành nghìn.,なし:không có,千円(せんえん):một nghìn yên|三千(さんぜん):ba nghìn|八千(はっせん):tám nghìn|千葉(ちば):tên tỉnh chiba|千歳(ちとせ):nghìn năm
33,万,VẠN,マン|バン,よろず,3,万-van,Vạn,Hình dáng một con số rất lớn.,万-van -> (万) mười nghìn,Một vạn là mười ngàn đơn vị.,なし:không có,一万円(いちまんえん):một vạn yên|万歳(ばんざい):vạn tuế|万人(ばんにん):mọi người|万国(ばんこく):vạn quốc|万年筆(まんねんひつ):bút máy
34,円,VIÊN,エン,まる,4,囗-vi,Tròn|yên nhật,Cái hộp vuông có hai chân bên trong.,囗-vi -> (円) hình tròn,Tượng trưng cho đồng tiền tròn.,なし:không có,百円(ひゃくえん):một trăm yên|円い(まるい):tròn|円滑(えんかつ):trôi chảy|円高(えんだか):yên lên giá|円山(まるやま):tên núi maruyama
35,年,NIÊN,ネン,とし,6,干-can,Năm,Người gánh lúa (禾) thu hoạch hàng năm.,年-nien -> (年) thời gian năm,Chu kỳ thu hoạch lúa mỗi năm.,なし:không có,今年(ことし):năm nay|来年(らいねん):năm sau|去年(きょねん):năm ngoái|半年(はんとし):nửa năm|毎年(まいねん):mỗi năm
36,上,THƯỢNG,ジョウ,うえ|あ-がる,3,一-nhat,Trên,Vật nằm trên một bề mặt.,一-nhat -> (上) phía trên,Gạch đứng nằm phía trên gạch ngang.,なし:không có,上手(じょうず):giỏi|上着(うわぎ):áo khoác|上がる(あがる):đi lên|屋上(おくじょう):sân thượng|川上(かわかみ):thượng nguồn
37,下,HẠ,カ|ゲ,した|さ-がる,3,一-nhat,Dưới,Vật nằm dưới một bề mặt.,一-nhat -> (下) phía dưới,Gạch đứng nằm phía dưới gạch ngang.,なし:không có,地下鉄(ちかてつ):tàu điện ngầm|下手(へた):dở|下がる(さがる):đi xuống|下着(したぎ):đồ lót|川下(かわしも):hạ nguồn
38,中,TRUNG,チュウ,なか,4,口-khau|丨-cổn,Trong|giữa,Một đường gạch xuyên qua giữa cái hộp (口).,口-khau + 丨-con -> (中) ở giữa,Mũi tên xuyên qua tâm bia.,なし:không có,中国(ちゅうごく):trung quốc|一日中(いちにちじゅう):suốt ngày|中心(ちゅうしん):trung tâm|中学校(ちゅうがっこう):trường cấp hai|中身(なかみ):nội dung
39,大,ĐẠI,ダイ|タイ,おお-きい,3,大-dai,Lớn,Hình người dang rộng tay chân.,大-dai -> (大) to lớn,Cố gắng dang tay để trông thật lớn.,大きい(おおきい):lớn,大学(だいがく):đại học|大人(おとな):người lớn|大会(たいかい):đại hội|大切(たいせつ):quan trọng|大使館(たいしかん):đại sứ quán
40,小,TIỂU,ショウ,ちい-さい,3,小-tieu,Nhỏ,Hình hạt cát nhỏ hoặc người khép tay.,小-tieu -> (小) nhỏ bé,Ba chấm nhỏ cạnh nhau.,小さい(ちいさい):nhỏ,小学校(しょうがっこう):trường tiểu học|小説(しょうせつ):tiểu thuyết|小屋(こや):túp lều|小包(こづつみ):bưu kiện|小銭(こぜに):tiền lẻ
41,本,BẢN,ホン,もと,5,木-moc,Sách|gốc,Cái cây (木) có gạch đánh dấu phần gốc.,木-moc -> (本) gốc rễ,Gốc rễ là nền tảng của quyển sách.,なし:không có,日本(にほん):nhật bản|本屋(ほんや):tiệm sách|一本(いっぽん):một cái|本当(ほんとう):thật sự|山本(やまもと):tên yamamoto
42,半,BÁN,ハン,なか-ば,5,十-thap,Nửa,Cái bánh (八) bị cắt làm đôi bằng dao (十).,八-bat + 十-thap -> (半) một nửa,Chia đôi một vật thành hai phần.,なし:không có,半分(はんぶん):một nửa|半日(はんにち):nửa ngày|半年(はんとし):nửa năm|半袖(はんそで):áo tay ngắn|半径(はんけい):bán kính
43,分,PHÂN,ブン|プン,わ-かる,4,八-bat|刀-đao,Phút|chia,Dùng dao (刀) chia (八) vật ra.,八-bat + 刀-đao -> (分) chia ra,Phân chia thời gian ra từng phút.,なし:không có,自分(じぶん):bản thân|五分(ごふん):năm phút|半分(はんぶん):một nửa|分かる(わかる):hiểu|分析(ぶんせき):phân tích
44,力,LỰC,リョキ|リキ,ちから,2,力-luc,Sức mạnh,Hình cánh tay đang gồng cơ bắp.,力-luc -> (力) sức lực,Cơ bắp nổi lên khi làm việc nặng.,なし:không có,体力(たいりょく):thể lực|水力(すいりょく):thủy lực|実力(じつりょく):thực lực|協力(きょうりょく):hiệp lực|努力(どりょく):nỗ lực
45,何,HÀ,カ,なに|なん,7,亻-nhân|可-khả,Cái gì,Người (亻) vác cái gì (可) trên vai.,亻-nhan + 可-kha -> (何) cái gì,Hỏi xem người đó đang mang cái gì.,なし:không có,何人(なんにん):mấy người|何時(なんじ):mấy giờ|何か(なにか):cái gì đó|何度(なんど):mấy lần|何曜日(なんようび):thứ mấy
46,明,MINH,メイ,あか-るい,8,日-nhật|月-nguyệt,Sáng,Mặt trời (日) và mặt trăng (月) cùng chiếu sáng.,日-nhat + 月-nguyet -> (明) sáng sủa,Sự kết hợp của hai nguồn sáng lớn nhất.,明るい(あかるい):sáng,明日(あした):ngày mai|説明(せつめい):giải thích|発明(はつめい):phát minh|文明(ぶんめい):văn minh|明後日(あさって):ngày kia
47,休,HƯU,キュウ,やす-む,6,亻-nhân|木-mộc,Nghỉ ngơi,Người (亻) đứng tựa vào cây (木).,亻-nhan + 木-moc -> (休) nghỉ ngơi,Lấy bóng mát của cây để thư giãn.,なし:không có,休み(やすみ):nghỉ ngơi|休日(きゅうじつ):ngày nghỉ|夏休み(なつやすみ):nghỉ hè|連休(れんきゅう):nghỉ liên tiếp|定休日(ていきゅうび):ngày nghỉ cố định
48,体,THỂ,タイ,からだ,7,亻-nhân|本-bản,Thân thể,Người (亻) và gốc rễ (本) tạo nên cơ thể.,亻-nhan + 本-ban -> (体) cơ thể,Cơ thể là gốc rễ của con người.,なし:không có,体力(たいりょく):thể lực|体育(たいいく):thể dục|全体(ぜんたい):toàn bộ|体重(たいじゅう):cân nặng|体験(たいけん):trải nghiệm
49,好,HẢO,コウ,す-き,6,女-nữ|子-tử,Thích,Người mẹ (女) yêu thương con (子).,女-nu + 子-tu -> (好) yêu thích,Tình cảm giữa mẹ và con là tuyệt nhất.,好き(すき):thích,大好き(だいすき):rất thích|好物(こうぶつ):món ăn ưa thích|お好み焼き(おこのみやき):bánh xèo nhật|良好(りょうこう):tốt đẹp|好意(こうい):thiện cảm
50,男,NAM,ダン|ナン,おとこ,7,田-điền|力-lực,Đàn ông,Người dùng sức (力) làm trên ruộng (田).,田-dien + 力-luc -> (男) đàn ông,Đàn ông là lực lượng lao động chính.,なし:không có,男の子(おとこのこ):bé trai|長男(ちょうなん):con trai cả|男性(だんせい):nam giới|男子(だんし):nam nhi|男女(だんじょ):nam nữ
51,林,LÂM,リン,はやし,8,木-mộc,Rừng thưa,Hai cái cây (木) đứng cạnh nhau.,木-moc + 木-moc -> (林) rừng thưa,Nhiều cây mọc gần nhau thành rừng.,なし:không có,山林(さんりん):sơn lâm|林道(りんどう):đường rừng|小林(こばやし):tên người kobayashi|林業(りんぎょう):lâm nghiệp|森林(しんりん):rừng rậm
52,森,SÂM,シン,もり,12,木-mộc,Rừng rậm,Ba cái cây (木) tạo thành rừng rậm.,木-moc + 木-moc + 木-moc -> (森) rừng rậm,Cây chồng lên cây thành rừng sâu.,なし:không có,森林(しんりん):rừng rậm|青森(あおもり):tên tỉnh aomori|森田(もりた):tên người morita|森の中(もりのなか):trong rừng|深林(しんりん):rừng sâu
53,間,GIAN,カン|ケン,あいだ|ま,12,門-môn|日-nhật,Khoảng trống,Ánh nắng mặt trời (日) lọt qua khe cửa (門).,門-mon + 日-nhat -> (間) ở giữa,Khoảng không gian giữa hai cánh cửa.,なし:không có,時間(じかん):thời gian|間に合う(まにあう):kịp giờ|仲間(なかま):bạn bè|間違い(まちがい):sai lầm|客間(きゃくま):phòng khách
54,畑,VƯỜN,なし,はたけ,9,火-hỏa|田-điền,Cánh đồng,Dùng lửa (火) đốt cỏ làm ruộng (田).,火-hoa + 田-dien -> (畑) vườn tược,Đốt rừng lấy đất canh tác hoa màu.,なし:không có,花畑(はなばたけ):cánh đồng hoa|田畑(たはた):ruộng vườn|畑作(はたさく):canh tác hoa màu|薬草畑(やくそうばたけ):vườn thuốc|麦畑(むぎばたけ):cánh đồng lúa mạch
55,岩,NHAM,ガン,いわ,8,山-sơn|石-thạch,Đá núi,Hòn đá (石) ở trên núi (山).,山-son + 石-thach -> (岩) tảng đá,Tảng đá lớn cứng như núi.,なし:không có,岩石(がんせき):nham thạch|岩山(いわやま):núi đá|岩波(いわなみ):tên nhà xuất bản iwanami|溶岩(ようがん):dung nham|岩場(いわば):chỗ nhiều đá
56,目,MỤC,モク,め,5,目-mục,Mắt,Hình dáng con mắt dựng đứng.,目-muc -> (目) con mắt,Con mắt có con ngươi ở giữa.,なし:không có,目上(めうえ):cấp trên|目次(もくじ):mục lục|目的地(もくてきち):đích đến|注目(ちゅうもく):chú ý|目薬(めぐすり):thuốc nhỏ mắt
57,耳,NHĨ,ジ,みみ,6,耳-nhĩ,Tai,Hình dáng cái tai người.,耳-nhi -> (耳) lỗ tai,Cái tai dùng để lắng nghe âm thanh.,なし:không có,耳鼻科(じびか):khoa tai mũi họng|耳鳴り(みみなり):ù tai|初耳(はつみみ):lần đầu nghe|耳打ち(みみうち):nói thầm vào tai|耳元(みみもと):bên tai
58,手,THỦ,シュ,て,4,手-thủ,Tay,Hình bàn tay với các ngón tay.,手-thu -> (手) bàn tay,Năm ngón tay đang xòe ra.,なし:không có,上手(じょうず):giỏi|下手(へた):dở|手紙(てがみ):lá thư|切手(きって):tem|歌手(かしゅ):ca sĩ
59,足,TÚC,ソク,あし|た-りる,7,足-túc,Chân|đủ,Hình cái chân đang đứng vững.,足-tuc -> (足) cái chân,Chân dùng để đi lại và đứng.,なし:không có,足首(あしくび):cổ chân|遠足(えんそく):dã ngoại|不足(ふそく):thiếu thốn|満足(まんぞく):hài lòng|一足(いっそく):một đôi giày
60,雨,VŨ,ウ,あめ,8,雨-vũ,Mưa,Hình những hạt mưa rơi dưới đám mây.,雨-vu -> (雨) cơn mưa,Nước rơi xuống từ bầu trời.,なし:không có,雨天(うてん):trời mưa|大雨(おおあめ):mưa lớn|雨傘(あまがさ):dù đi mưa|雨どい(あまどい):máng xối|梅雨(つゆ):mùa mưa
61,竹,TRÚC,チク,たけ,6,竹-trúc,Tre,Hình lá tre rủ xuống.,竹-truc -> (竹) cây tre,Loài cây có đốt và lá nhọn.,なし:không có,竹林(ちくりん):rừng tre|竹の子(たけのこ):măng|竹馬(たけうま):cà kheo|竹細工(たけざいく):đồ nan tre|竹垣(たけがき):hàng rào tre
62,米,MỄ,ベイ|マイ,こめ,6,米-mễ,Gạo,Hình hạt gạo tỏa ra các hướng.,米-me -> (米) hạt gạo,Lương thực chính của người á đông.,なし:không có,米国(べいこく):nước mỹ|新米(しんまい):gạo mới|玄米(げんまい):gạo lứt|欧米(おうべい):âu mỹ|白米(はくまい):gạo trắng
63,貝,BỐI,なし,かい,7,貝-bối,Vỏ sò,Hình dáng vỏ sò thời cổ.,貝-boi -> (貝) con sò,Vỏ sò ngày xưa dùng làm tiền.,なし:không có,貝殻(かいがら):vỏ sò|ホタテ貝(ほたてがい):sò điệp|貝類(かいるい):loài sò|ムール貝(むーるがい):vẹm|赤貝(あかがい):sò huyết
64,石,THẠCH,セキ,いし,5,石-thạch,Đá,Hình tảng đá dưới vách núi.,石-thach -> (石) hòn đá,Tảng đá nằm bên dưới sườn núi.,なし:không có,石けん(せっけん):xà phòng|石油(せきゆ):dầu mỏ|宝石(ほうせき):đá quý|磁石(じしゃく):nam châm|化石(かせき):hóa thạch
65,糸,MỊCH,シ,いと,6,糸-mịch,Sợi chỉ,Hình cuộn chỉ có sợi rủ xuống.,糸-mich -> (糸) sợi chỉ,Những sợi tơ được se lại.,なし:không có,糸くず(いとくず):xơ chỉ|毛糸(けいと):len|絹糸(けんいと):chỉ tơ tằm|釣り糸(つりいと):dây câu|抜糸(ばっし):cắt chỉ
66,花,HOA,カ,はな,7,艹-thảo|化-hóa,Hoa,Cỏ (艹) biến hóa (化) thành hoa.,艹-thao + 化-hoa -> (花) bông hoa,Vẻ đẹp rực rỡ từ cây cỏ.,なし:không có,花瓶(かびん):bình hoa|花火(はなび):pháo hoa|生け花(いけばな):cắm hoa|花屋(はなや):tiệm hoa|桜花(おうか):hoa anh đào
67,茶,TRÀ,チャ|サ,なし,9,艹-thảo,Trà,Cây cỏ (艹) hái trên núi dùng pha nước.,艹-thao -> (茶) lá trà,Thức uống từ lá cây khô.,なし:không có,茶色(ちゃいろ):màu nâu|紅茶(こうちゃ):trà đen|日本茶(にほんちゃ):trà nhật|茶道(さどう):trà đạo|喫茶店(きっさてん):quán giải khát
68,肉,NHỤC,ニク,なし,6,肉-nhục,Thịt,Hình miếng thịt có gân.,肉-nhuc -> (肉) miếng thịt,Thức ăn từ động vật.,なし:không có,牛肉(ぎゅうにく):thịt bò|豚肉(ぶたにく):thịt heo|鶏肉(とりにく):thịt gà|筋肉(きんにく):cơ bắp|肉屋(にくや):tiệm thịt
69,文,VĂN,ブン|モン,ふみ,4,文-văn,Văn chương,Hình vết xăm trên ngực người.,文-van -> (文) chữ viết,Ngôn ngữ được ghi chép lại.,なし:không có,文学(ぶんがく):văn học|文章(ぶんしょう):văn bản|文化(ぶんか):văn hóa|文法(ぶんぽう):ngữ pháp|注文(ちゅうもん):đặt hàng
70,字,TỰ,ジ,あざ,6,宀-miên|子-tử,Chữ,Đứa trẻ (子) học chữ dưới mái nhà (宀).,宀-mien + 子-tu -> (字) mặt chữ,Ký tự được dạy cho trẻ nhỏ.,なし:không có,漢字(かんじ):chữ hán|文字(もじ):chữ cái|数字(すうじ):con số|名字(みょうじ):họ|赤字(あかじ):lỗ vốn
71,物,VẬT,ブツ|モツ,もの,8,牛-ngưu|勿-vật,Vật thể,Con bò (牛) và sự phân chia vật chất.,牛-nguu + 勿-vat -> (物) đồ vật,Mọi thứ tồn tại trên đời.,なし:không có,食べ物(たべもの):đồ ăn|飲み物(のみもの):đồ uống|買い物(かいもの):mua sắm|動物(どうぶつ):động vật|荷物(にもつ):hành lý
72,牛,NGƯU,ギュウ,うし,4,牛-ngưu,Con bò,Hình đầu con bò có hai sừng.,牛-nguu -> (牛) con bò,Động vật kéo cày lấy thịt.,なし:không có,牛乳(ぎゅうにゅう):sữa bò|牛肉(ぎゅうにく):thịt bò|子牛(こうし):bê con|和牛(わぎゅう):bò nhật|牛丼(ぎゅうどん):cơm thịt bò
73,馬,MÃ,バ,うま,10,馬-mã,Con ngựa,Hình con ngựa có bờm và bốn chân.,馬-ma -> (馬) con ngựa,Loài vật chạy nhanh có bốn chân.,なし:không có,馬車(ばしゃ):xe ngựa|乗馬(じょうば):cưỡi ngựa|子馬(こうま):ngựa con|競馬(けいば):đua ngựa|竹馬(たけうま):cà kheo
74,鳥,ĐIỂU,チョウ,とり,11,鳥-điểu,Con chim,Hình con chim có mỏ và đuôi dài.,鳥-dieu -> (鳥) loài chim,Động vật có cánh bay trên trời.,なし:không có,小鳥(ことり):chim nhỏ|鳥肉(とりにく):thịt chim|白鳥(はくちょう):thiên nga|焼き鳥(やきとり):thịt gà nướng|野鳥(やちょう):chim hoang dã
75,魚,NGƯ,ギョ,さかな,11,魚-ngư,Con cá,Hình con cá có đầu và vảy.,魚-ngu -> (魚) cá lội,Động vật sống dưới nước.,なし:không có,金魚(きんぎょ):cá vàng|人魚(にんぎょ):người cá|鮮魚(せんぎょ):cá tươi|魚屋(さかなや):tiệm cá|焼き魚(やきざかな):cá nướng
76,新,TÂN,シン,あたら-しい,13,立-lập|木-mộc|斤-cân,Mới,Dùng rìu (斤) chặt cây (木) để xây mới.,立-lap + 木-moc + 斤-can -> (新) mới mẻ,Sự thay đổi tạo ra cái mới.,新しい(あたらしい):mới,新聞(しんぶん):báo chí|新年(しんねん):năm mới|新幹線(しんかんせん):tàu cao tốc|新人(しんじん):người mới|新曲(しんきょく):bài hát mới
77,古,CỔ,コ,ふる-い,5,十-thập|口-khẩu,Cũ,Lời nói (口) truyền qua mười (十) đời.,十-thap + 口-khau -> (古) xưa cũ,Những thứ thuộc về quá khứ.,古い(ふるい):cũ,古本(ふるほん):sách cũ|古着(ふるぎ):quần áo cũ|古代(こだい):cổ đại|古株(ふるかぶ):người kỳ cựu|古風(こふう):phong cách cổ
